estrategia,mes_absoluto,anio,mes_calendario,fecha,ocupacion_asumida,ingreso_bruto,gastos,ingreso_neto,ingreso_neto_acumulado,balance_acumulado,roi_acumulado
2. Estudiantil x habitacion,188,16,4,2042-04-01,0.95,833.625,207.83496458333332,625.7900354166667,101649.50790833334,-162474.99209166667,0.4271885182111088
3. Turistico (Airbnb/Booking),188,16,4,2042-04-01,0.575,2539.8439999999996,1177.9072195833332,1361.9367804166666,269076.74575920316,4952.245759203157,1.130812127586481
4. Mixto (curso+verano),188,16,4,2042-04-01,0.95,833.625,207.83496458333332,625.7900354166667,145847.23079528625,-118277.26920471375,0.612932258017593
1. Residencial anual,189,16,5,2042-05-01,0.95,912.0,212.92933958333333,699.0706604166667,132124.35481875,-132000.14518125,0.5552609994484136
2. Estudiantil x habitacion,189,16,5,2042-05-01,0.95,833.625,207.83496458333332,625.7900354166667,102275.29794375,-161849.20205625,0.42981844061252367
3. Turistico (Airbnb/Booking),189,16,5,2042-05-01,0.6,2650.272,1217.2227795833332,1433.049220416667,270509.7949796198,6385.294979619794,1.1368346080252985
4. Mixto (curso+verano),189,16,5,2042-05-01,0.95,833.625,207.83496458333332,625.7900354166667,146473.0208307029,-117651.47916929709,0.6155621804190078
1. Residencial anual,190,16,6,2042-06-01,0.95,912.0,212.92933958333333,699.0706604166667,132823.42547916668,-131301.07452083332,0.558198888334384
2. Estudiantil x habitacion,190,16,6,2042-06-01,0.95,833.625,207.83496458333332,625.7900354166667,102901.08797916667,-161223.41202083335,0.4324483630139385
3. Turistico (Airbnb/Booking),190,16,6,2042-06-01,0.625,2760.7,1256.5383395833335,1504.1616604166666,272013.9566400365,7889.456640036486,1.1431559430133915
4. Mixto (curso+verano),190,16,6,2042-06-01,0.95,833.625,207.83496458333332,625.7900354166667,147098.81086611957,-117025.68913388043,0.6181921028204227
1. Residencial anual,191,16,7,2042-07-01,0.95,912.0,212.92933958333333,699.0706604166667,133522.49613958332,-130602.00386041668,0.5611367772203544
2. Estudiantil x habitacion,191,16,7,2042-07-01,0.3,263.25,170.76058958333334,92.48941041666667,102993.57738958334,-161130.92261041666,0.43283705564019054
3. Turistico (Airbnb/Booking),191,16,7,2042-07-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,273570.1762195833,9445.676219583314,1.1496960547156265
4. Mixto (curso+verano),191,16,7,2042-07-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,148655.03044566643,-115469.46955433357,0.6247322145226578
1. Residencial anual,192,16,8,2042-08-01,0.95,912.0,212.92933958333333,699.0706604166667,134221.5668,-129902.9332,0.5640746661063248
2. Estudiantil x habitacion,192,16,8,2042-08-01,0.3,263.25,170.76058958333334,92.48941041666667,103086.0668,-161038.4332,0.43322574826644256
3. Turistico (Airbnb/Booking),192,16,8,2042-08-01,0.65,2871.128,1295.8538995833335,1575.274100416667,275145.45032,11020.950320000004,1.1563162442529944
4. Mixto (curso+verano),192,16,8,2042-08-01,0.65,2871.128,1295.8538995833335,1575.274100416667,150230.3045460831,-113894.19545391691,0.6313524040600256
1. Residencial anual,193,17,9,2042-09-01,0.95,912.0,212.92933958333333,699.0706604166667,134920.63746041668,-129203.86253958332,0.5670125549922953
2. Estudiantil x habitacion,193,17,9,2042-09-01,0.95,833.625,207.83496458333332,625.7900354166667,103711.85683541666,-160412.64316458334,0.43585567066785735
3. Turistico (Airbnb/Booking),193,17,9,2042-09-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,276701.66989954683,12577.169899546832,1.1628563559552294
4. Mixto (curso+verano),193,17,9,2042-09-01,0.95,833.625,207.83496458333332,625.7900354166667,150856.09458149975,-113268.40541850025,0.6339823264614405
1. Residencial anual,194,17,10,2042-10-01,0.95,912.0,212.92933958333333,699.0706604166667,135619.70812083333,-128504.79187916667,0.5699504438782657
2. Estudiantil x habitacion,194,17,10,2042-10-01,0.95,833.625,207.83496458333332,625.7900354166667,104337.64687083334,-159786.85312916664,0.4384855930692723
3. Turistico (Airbnb/Booking),194,17,10,2042-10-01,0.625,2760.7,1256.5383395833335,1504.1616604166666,278205.8315599635,14081.331559963524,1.1691776909433222
4. Mixto (curso+verano),194,17,10,2042-10-01,0.95,833.625,207.83496458333332,625.7900354166667,151481.88461691642,-112642.61538308358,0.6366122488628553
1. Residencial anual,195,17,11,2042-11-01,0.95,912.0,212.92933958333333,699.0706604166667,136318.77878125,-127805.72121875,0.5728883327642362
2. Estudiantil x habitacion,195,17,11,2042-11-01,0.95,833.625,207.83496458333332,625.7900354166667,104963.43690625,-159161.06309374998,0.4411155154706871
3. Turistico (Airbnb/Booking),195,17,11,2042-11-01,0.6,2650.272,1217.2227795833332,1433.049220416667,279638.8807803802,15514.38078038022,1.17520017138214
4. Mixto (curso+verano),195,17,11,2042-11-01,0.95,833.625,207.83496458333332,625.7900354166667,152107.67465233308,-112016.82534766692,0.6392421712642702
1. Residencial anual,196,17,12,2042-12-01,0.95,912.0,212.92933958333333,699.0706604166667,137017.84944166668,-127106.65055833332,0.5758262216502067
2. Estudiantil x habitacion,196,17,12,2042-12-01,0.95,833.625,207.83496458333332,625.7900354166667,105589.22694166667,-158535.27305833332,0.44374543787210197
3. Turistico (Airbnb/Booking),196,17,12,2042-12-01,0.575,2539.8439999999996,1177.9072195833332,1361.9367804166666,281000.81756079686,16876.31756079686,1.1809237972716826
4. Mixto (curso+verano),196,17,12,2042-12-01,0.95,833.625,207.83496458333332,625.7900354166667,152733.46468774977,-111391.03531225023,0.6418720936656851
1. Residencial anual,197,17,1,2043-01-01,0.95,912.0,212.92933958333333,699.0706604166667,137716.92010208333,-126407.57989791667,0.578764110536177
2. Estudiantil x habitacion,197,17,1,2043-01-01,0.95,833.625,207.83496458333332,625.7900354166667,106215.01697708333,-157909.48302291665,0.4463753602735168
3. Turistico (Airbnb/Booking),197,17,1,2043-01-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,282310.69642208336,18186.19642208336,1.1864286464470828
4. Mixto (curso+verano),197,17,1,2043-01-01,0.95,833.625,207.83496458333332,625.7900354166667,153359.25472316644,-110765.24527683356,0.6445020160671
1. Residencial anual,198,17,2,2043-02-01,0.95,912.0,212.92933958333333,699.0706604166667,138415.9907625,-125708.5092375,0.5817019994221475
2. Estudiantil x habitacion,198,17,2,2043-02-01,0.95,833.625,207.83496458333332,625.7900354166667,106840.80701250001,-157283.6929875,0.4490052826749317
3. Turistico (Airbnb/Booking),198,17,2,2043-02-01,0.5499999999999999,2429.4159999999997,1138.5916595833332,1290.8243404166667,283601.5207625,19477.020762500004,1.1918534177873503
4. Mixto (curso+verano),198,17,2,2043-02-01,0.95,833.625,207.83496458333332,625.7900354166667,153985.0447585831,-110139.4552414169,0.6471319384685148
1. Residencial anual,199,17,3,2043-03-01,0.95,912.0,212.92933958333333,699.0706604166667,139115.06142291665,-125009.43857708335,0.5846398883081179
2. Estudiantil x habitacion,199,17,3,2043-03-01,0.95,833.625,207.83496458333332,625.7900354166667,107466.59704791667,-156657.90295208333,0.4516352050763466
