fuente;fecha_captura;id_anuncio;precio_mes;habitaciones;m2;zona;planta;ascensor;banos;garaje;tipo_alquiler;texto_original;es_duplicado_cruzado
idealista;2026-08-24;;900.0;3.0;100.0;Centro;1ª;True;;False;temporada;"Piso en Calle Pedro Maltés | 900 | Estudiantes; 15 min andando UA; alquiler de temporada";True
idealista;2026-08-24;;1260.0;4.0;125.0;Centro;4ª;True;;False;anual/no_especificado;"Piso en Calle Alicante | 1260 | 200 m de la UA; equipado para estudiantes";False
idealista;2026-08-24;;1050.0;3.0;95.0;Centro;4ª;True;;False;anual/no_especificado;"Piso en Calle Jorge Juan, 26 | 1050 | Reformado; 2 baños; exterior";True
idealista;2026-08-24;;1300.0;4.0;134.0;Centro;4ª;True;;False;temporada;"Piso en Dr Trueta | 1300 | Exclusivo estudiantes UA; temporada";False
idealista;2026-08-24;;1100.0;4.0;152.0;Centro;1ª;True;;True;anual/no_especificado;"Dúplex en Portugal | 1100 | Garaje incluido; estudiantes UA; 5 min UA";True
idealista;2026-08-24;;1000.0;4.0;95.0;Centro;4ª;False;;False;temporada;"Piso en Calle Bailén, 35 | 1000 | Estudiantes; 3 o 4 inquilinos; temporada";True
idealista;2026-08-24;;950.0;2.0;80.0;Centro;3ª;False;;False;anual/no_especificado;"Piso en Centro | 950 | Lo Torrent; suministros no incluidos";False
idealista;2026-08-24;;1200.0;4.0;85.0;Centro;1ª;False;;False;anual/no_especificado;"Piso en Calle San Juan | 1200 | Alquiler temporal; disponible octubre";False
idealista;2026-08-24;;960.0;3.0;117.0;Alcalde Felipe Mallol;3ª;False;;False;temporada;"Piso en Calle Las Navas, 12 | 960 | Reformado; 90 m² útiles; temporada";False
idealista;2026-08-24;;795.0;2.0;68.0;Haygon - Universidad;1ª;False;;False;temporada;"Piso en Colonia Santa Isabel | 795 | Temporada 11 meses; reformado";False
idealista;2026-08-24;;1000.0;4.0;100.0;Centro;3ª;True;;False;anual/no_especificado;"Piso en Echegaray | 1000 | Estudiantes; terraza; 1 baño + aseo";False
idealista;2026-08-24;;1100.0;4.0;120.0;Centro;2ª;True;;False;temporada;"Piso en Calle Alicante, 56 | 1100 | Estudiantes; 5 min andando UA; temporada";False
idealista;2026-08-24;;1100.0;4.0;110.0;Centro;3ª;False;;False;temporada;"Piso en Calle San Pablo, 11 | 1100 | Grupo de 4 estudiantes; temporada";True
idealista;2026-08-24;;950.0;3.0;90.0;Centro;2ª;False;;False;anual/no_especificado;"Piso en Calle Cura Francisco Maestre, 4 | 950 | Estudiantes; 9 min UA; gastos no incluidos";False
