id;mercado;tipo_oferta;fuente;fecha_captura;temporada;habitaciones;m2;banos;zona;tiene_precio;unidad_precio;precio_eur_mes;precio_eur_noche;precio_eur_venta;precio_por_m2;es_comparable_arquetipo;marca_calidad;descripcion
96;alquiler_residencial;temporada;idealista;2026-08-24;;4;110.0;;Centro;True;EUR/mes;1100.0;;;10.0;False;;"Piso en Calle San Pablo, 11 | 1100 | Grupo de 4 estudiantes; temporada"
97;alquiler_residencial;temporada;idealista;2026-08-24;;3;130.0;;Centro;True;EUR/mes;900.0;;;6.92;False;;"Piso en Calle Benlliure | 900 | Solo estudiantes; temporada; 85 m² útiles"
98;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;124.0;;Los Girasoles;True;EUR/mes;1300.0;;;10.48;False;;"Piso en Partida Raspeig Polig D | 1300 | Garaje; máximo 4 personas; suministros incluidos"
99;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;89.0;;Alcalde Felipe Mallol;True;EUR/mes;850.0;;;9.55;True;;"Piso en Alcalde Felipe Mallol | 850 | Estudiantes; zona Canastell"
100;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;115.0;;Haygon - Universidad;True;EUR/mes;950.0;;;8.26;True;;"Piso en Colonia Santa Isabel, 52 | 950 | Solo estudiantes; 5 min UA; sep-jun"
101;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;90.0;;Centro;True;EUR/mes;950.0;;;10.56;True;;"Piso en Calle Cura Francisco Maestre, 4 | 950 | Estudiantes; 9 min UA; gastos no incluidos"
102;alquiler_residencial;temporada;idealista;2026-08-24;;4;382.0;;Centro;True;EUR/mes;930.0;;;2.43;False;m2_sospechoso;"Piso en Bailen | 930 | Temporada estudiantes; 5 min UA; 250 €/habitación"
103;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;6;200.0;;Centro;True;EUR/mes;2100.0;;;10.5;False;;"Casa independiente Calle Major | 2100 | Septiembre-junio; solo estudiantes; garaje"
104;alquiler_residencial;temporada;idealista;2026-08-24;;4;135.0;;Centro;True;EUR/mes;1500.0;;;11.11;False;;"Piso en Sevilla | 1500 | Temporada; piscina en azotea"
105;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;5;132.0;;Centro;True;EUR/mes;1475.0;;;11.17;False;;"Piso en Centro | 1475 | Estudiantes; cinco habitaciones"
106;alquiler_residencial;temporada;idealista;2026-08-26;;3;90.0;;;True;EUR/mes;800.0;;;8.89;False;;800€/mes | 3 hab.|90 m²|Bajo interior sin ascensor
107;alquiler_residencial;temporada;idealista;2026-08-26;;5;100.0;;;True;EUR/mes;1750.0;;;17.5;False;;1.750€/mes | 5 hab.|100 m²|2ª planta exterior con ascensor
108;alquiler_residencial;temporada;idealista;2026-08-26;;4;100.0;;;True;EUR/mes;1150.0;;;11.5;False;;1.150€/mes | 4 hab.|100 m²|6ª planta exterior con ascensor
109;alquiler_residencial;temporada;idealista;2026-08-26;;3;100.0;;;True;EUR/mes;920.0;;;9.2;False;;920€/mes | 3 hab.|100 m²|1ª planta exterior con ascensor
110;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-26;;4;14.0;;Villamontes-Boqueres;True;EUR/mes;400.0;;;28.57;False;;400 | Villamontes-Boqueres | Terraza
111;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-26;;4;100.0;;Centro;True;EUR/mes;1400.0;;;14.0;False;;1400 | Centro | adosada
112;alquiler_residencial;temporada;fotocasa;2026-08-26;;4;142.0;;Centro;True;EUR/mes;350.0;;;2.46;False;m2_sospechoso;350 | Centro | Balcon (chalet)
113;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-26;;4;126.0;;Centro;True;EUR/mes;1200.0;;;9.52;False;;1200 | Centro | 3a Planta
114;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-26;;5;90.0;;Centro;True;EUR/mes;1450.0;;;16.11;False;;1450 | Centro | 2a Planta
115;alquiler_residencial;temporada;idealista;2026-08-26;;3;80.0;;;True;EUR/mes;1150.0;;;14.38;False;;1.150€/mes | 3 hab.|80 m²|Bajo exterior sin ascensor
116;alquiler_residencial;anual/no_especificado;idealista;2026-08-26;;3;90.0;;;True;EUR/mes;1550.0;;;17.22;True;;1.550€/mes | Garaje opc. 40 €/mes|3 hab.|90 m²|3ª planta exterior con ascensor
117;alquiler_residencial;temporada;idealista;2026-08-26;;6;200.0;;;True;EUR/mes;1200.0;;;6.0;False;;1.200€/mes | Garaje incluido|6 hab.|200 m²
118;alquiler_residencial;temporada;idealista;2026-08-26;;4;117.0;;;True;EUR/mes;1100.0;;;9.4;False;;1.100€/mes | 4 hab.|117 m²|1ª planta exterior sin ascensor
119;alquiler_residencial;temporada;idealista;2026-08-26;;4;137.0;;;True;EUR/mes;860.0;;;6.28;False;;860€/mes | 4 hab.|137 m²|1ª planta interior con ascensor
120;alquiler_residencial;temporada;idealista;2026-08-26;;4;100.0;;;True;EUR/mes;1100.0;;;11.0;False;;1.100€/mes | 4 hab.|100 m²|2ª planta exterior sin ascensor
121;alquiler_residencial;anual/no_especificado;idealista;2026-08-26;;3;75.0;;;True;EUR/mes;1000.0;;;13.33;True;;1.000€/mes | 3 hab.|75 m²|1ª planta exterior sin ascensor
122;alquiler_residencial;temporada;idealista;2026-08-26;;4;99.0;;;True;EUR/mes;770.0;;;7.78;False;;770€/mes | 4 hab.|99 m²|Bajo exterior sin ascensor
123;alquiler_residencial;temporada;idealista;2026-08-26;;4;112.0;;;True;EUR/mes;1100.0;;;9.82;False;;1.100€/mes | 4 hab.|112 m²|3ª planta exterior sin ascensor
124;alquiler_residencial;temporada;idealista;2026-08-26;;4;100.0;;;True;EUR/mes;900.0;;;9.0;False;;900€/mes | 4 hab.|100 m²|3ª planta interior con ascensor
125;alquiler_residencial;temporada;idealista;2026-08-26;;3;82.0;;;True;EUR/mes;850.0;;;10.37;False;;850€/mes | 3 hab.|82 m²|3ª planta exterior sin ascensor
126;alquiler_residencial;temporada;idealista;2026-08-26;;4;120.0;;;True;EUR/mes;1000.0;;;8.33;False;;1.000€/mes | 4 hab.|120 m²|3ª planta exterior con ascensor
127;alquiler_residencial;temporada;idealista;2026-08-26;;5;120.0;;;True;EUR/mes;1400.0;;;11.67;False;;1.400€/mes | 5 hab.|120 m²|2ª planta exterior sin ascensor
128;alquiler_residencial;temporada;idealista;2026-08-26;;3;95.0;;;True;EUR/mes;840.0;;;8.84;False;;840€/mes | 3 hab.|95 m²|3ª planta exterior con ascensor
129;alquiler_residencial;anual/no_especificado;idealista;2026-08-26;;4;90.0;;;True;EUR/mes;1200.0;;;13.33;False;;1.200€/mes | 4 hab.|90 m²|3ª planta exterior con ascensor
130;alquiler_residencial;temporada;idealista;2026-08-26;;5;140.0;;;True;EUR/mes;1400.0;;;10.0;False;;1.400€/mes | 5 hab.|140 m²|2ª planta exterior sin ascensor
131;alquiler_residencial;anual/no_especificado;idealista;2026-08-26;;4;140.0;;;True;EUR/mes;1200.0;;;8.57;False;;1.200€/mes | 4 hab.|140 m²|4ª planta exterior sin ascensor
132;alquiler_residencial;temporada;idealista;2026-08-26;;3;115.0;;;True;EUR/mes;800.0;;;6.96;False;;800€/mes | 3 hab.|115 m²|1ª planta exterior con ascensor
